DIEGO GARCIA ISLAND (INDIAN O.),-7.32 ,72.43 
SAO TOME (ATLANTIC O.),0.38 ,6.72 
DAR ES SALAAM,-6.88 ,39.20 
ALGIERS-CN,36.78 ,3.05 
ASSEKREM,23.27 ,5.60 
ADDIS ABABA,9.00 ,38.73 
AWASSA,7.08 ,38.48 
HAGERE SELAM,6.48 ,38.51 
MALANGE,-9.55 ,16.37 
MENONGUE,-14.67 ,17.70 
COTONOU (IITA ABOMEY-CALAVI),6.42 ,2.33 
KINSHASA (BINZA),-4.37 ,15.25 
HARARE,-17.83 ,31.02 
DOUALA-HYDRAC,4.04 ,9.73 
KERICHO,-0.37 ,35.35 
ST. HELENA (ATLANTIC O.),-15.97 ,-5.70 
GRAND-ILET (REUNION),-21.03 ,55.47 
SAINT DENIS (GILLOT) REUNION,-20.90 ,55.48 
ANTANANARIVO,-18.90 ,47.53 
ANTANANARIVO (ANKATSO),-18.91 ,47.56 
BAMAKO,12.69 ,-8.00 
VACOAS,-20.30 ,57.48 
FES SAIS,33.97 ,-4.98 
WINDHOEK,-22.95 ,17.15 
CAPE TOWN AIRPORT,-33.97 ,18.60 
CAPE TOWN UNIVERSITY,-33.96 ,18.46 
GOUGH ISLAND (ATLANTIC O.),-40.35 ,-9.88 
MARION ISLAND (INDIAN O.),-46.88 ,37.87 
PRETORIA,-25.73 ,28.18 
MAHE (INDIAN O.),-4.62 ,55.45 
ASCENSION ISLAND (ATLANTIC O.),-7.92 ,-14.42 
TRAVELLER'S HILL,-7.94 ,-14.37 
TUNIS (CARTHAGE),36.83 ,10.23 
BUGONDO,1.69 ,33.62 
BUKASA ISLAND,-0.41 ,32.53 
ENTEBBE (AIRPORT),0.05 ,32.45 
JINJA,0.45 ,33.20 
MASAKA,-0.33 ,31.76 
RUKUNGIRI,-0.84 ,29.94 
SANTA CRUZ DE TENERIFE,28.45 ,-16.25 
BANGUI-SODECA,4.37 ,18.59 
BANGUI-UNIVERSITE,4.38 ,18.56 
BASE TTE. MARSH,-62.12 ,-58.56 
HALLEY BAY,-75.58 ,-20.57 
ROTHERA POINT,-67.57 ,-68.13 
VERNADSKY (ARGENTINE IS.),-65.08 ,-63.98 
KABUL (KARIZIMIR),34.57 ,69.21 
KARACHI,24.90 ,67.13 
POHANG,36.03 ,129.38 
CHEONGJU,36.62 ,127.46 
AMDERMA,69.77 ,61.68 
BAGDARIN,54.47 ,113.58 
OLENEK,68.50 ,112.43 
PETROPAVLOVSK-KAMCHATSKIY,52.98 ,158.65 
PUSCHINO,54.18 ,158.02 
TERNEY,45.00 ,136.60 
BARABINSK,55.33 ,78.37 
PECHORA,65.12 ,57.10 
PERM,58.01 ,56.18 
SALEKHARD,66.53 ,66.67 
YAKUTSK,62.08 ,129.75 
IRKUTSK,52.27 ,104.35 
LUANG-PRABANG,19.88 ,102.13 
ULAANBAATAR,47.93 ,106.98 
DHAKA (SAVAR),23.95 ,90.28 
SYLHET,24.91 ,91.85 
RYORI,39.03 ,141.81 
TOKYO,35.68 ,139.77 
BATALAGODA,7.53 ,80.45 
TANAMALWILA,6.43 ,81.13 
WELLAMPITIYA,6.95 ,79.88 
ANURADHAPURA,8.35 ,80.38 
BATTICALOA,7.72 ,81.73 
HAMBANTOTA,6.12 ,81.13 
KANTALE,8.35 ,81.02 
COLOMBO,6.91 ,79.87 
PERADENIYA,7.27 ,80.60 
NUWARA ELIYA,6.97 ,80.77 
PUTTALAM,8.04 ,79.82 
BANGKOK,13.73 ,100.50 
KO SAMUI,9.47 ,100.05 
KO SICHANG,13.17 ,100.80 
TEHERAN,35.68 ,51.32 
DOBRANI,30.95 ,78.69 
TEHRI,30.35 ,78.48 
JAMMU (INDIAN CONTROLLED KASHMIR),32.69 ,74.85 
HYDERABAD,17.45 ,78.47 
KAKINADA,17.02 ,82.26 
KOZHIKODE (CALICUT),11.25 ,75.78 
ROORKEE,29.87 ,77.89 
UTTARKASHI,30.73 ,78.45 
SHILLONG,25.57 ,91.88 
NEW DELHI,28.58 ,77.20 
HANOI,21.05 ,105.80 
BAOTOU,40.67 ,109.85 
CHANGCHUN,43.90 ,125.22 
CHANGSHA,28.20 ,113.07 
CHENGDU,30.67 ,104.02 
FUZHOU,26.08 ,119.28 
GUANGZHOU,23.13 ,113.32 
GUILIN,25.07 ,110.08 
GUIYANG,26.58 ,106.72 
HAERBIN,45.68 ,126.62 
HAIKOU,20.03 ,110.35 
HETIAN,37.13 ,79.93 
HONG KONG (KING'S PARK),22.32 ,114.17 
KUNMING,25.02 ,102.68 
LANZHOU,36.05 ,103.88 
LHASA,29.70 ,91.13 
LIUZHOU,24.35 ,109.40 
NANJING,32.18 ,118.18 
QIQIHAR,47.38 ,123.92 
SHIJIAZHUANG,38.03 ,114.42 
TIANJIN,39.10 ,117.17 
WUHAN,30.62 ,114.13 
WULUMUQI,43.78 ,87.62 
XIAN,34.30 ,108.93 
YANTAI,37.53 ,121.40 
YINCHUAN,38.48 ,106.22 
ZHANGYE,38.93 ,100.43 
ZHENGZHOU,34.72 ,113.65 
ZUNYI,27.70 ,106.88 
GIBRALTAR,36.15 ,-5.35 
REYKJAVIK,64.13 ,-21.93 
VALENTIA (OBSERVATORY),51.93 ,-10.25 
GRAZ (UNIVERSITAET),47.08 ,15.45 
KLAGENFURT FLUGHAFEN,46.65 ,14.32 
PETZENKIRCHEN,48.15 ,15.15 
PODERSDORF,47.85 ,16.84 
VIENNA (HOHE WARTE),48.25 ,16.36 
VILLACHER ALPE,46.60 ,13.67 
BREST,52.09 ,23.71 
MINSK,53.93 ,27.63 
LIEGE,50.70 ,5.47 
KRAKOW (WOLA JUSTOWSKA),50.06 ,19.85 
TAASTRUP,55.67 ,12.30 
ARKONA,54.68 ,13.43 
ARTERN,51.37 ,11.29 
BAD SALZUFLEN,52.10 ,8.75 
BERLIN,52.47 ,13.40 
BRAUNSCHWEIG,52.29 ,10.45 
CUXHAVEN,53.87 ,8.71 
DRESDEN,51.05 ,13.73 
EMMERICH,51.83 ,6.25 
FEHMARN,54.53 ,11.06 
FELDBERG-SCHWARZWALD,47.87 ,8.00 
GARMISCH-PARTENKIRCHEN,47.48 ,11.06 
GOERLITZ,51.16 ,14.95 
GREIFSWALD,54.10 ,13.41 
HOF-HOHENSAAS,50.31 ,11.88 
HOHENPEISSENBERG,47.80 ,11.01 
KAHLER ASTEN,51.18 ,8.49 
KARLSRUHE,49.04 ,8.37 
KOBLENZ,50.34 ,7.60 
KONSTANZ,47.68 ,9.19 
LEIPZIG,51.35 ,12.43 
NEUBRANDENBURG,53.55 ,13.19 
NEUHERBERG,44.22 ,11.59 
NORDERNEY,53.71 ,7.15 
PASSAU-FUERSTENZELL,48.54 ,13.35 
REGENSBURG,49.04 ,12.10 
SCHLESWIG,54.53 ,9.55 
SEEHAUSEN,52.89 ,11.73 
STUTTGART,48.83 ,9.20 
TRIER,49.75 ,6.66 
WASSERKUPPE RHOEN,50.50 ,9.94 
WEIL AM RHEIN,47.60 ,7.59 
WUERZBURG,49.77 ,9.96 
ZINNWALD,50.73 ,13.75 
ZITTAU,50.90 ,14.80 
ARKHANGELSK,64.58 ,40.50 
ASTRAKHAN,46.25 ,48.03 
CHERSKIY,68.76 ,161.34 
GOR'KIJ,56.22 ,43.82 
KALININ,56.90 ,35.90 
KANDALAKSA,67.15 ,32.35 
KIROV,58.65 ,49.62 
KURSK,51.73 ,36.27 
MOSCOW,55.75 ,37.57 
MURMANSK,68.97 ,33.05 
RJAZAN,54.62 ,39.72 
ROSTOV-NA-DONU,47.25 ,39.82 
SARATOV,51.57 ,46.03 
ST. PETERSBURG,59.97 ,30.30 
TAMBOV,52.73 ,41.47 
VOLOGDA,59.28 ,39.87 
AVIGNON,43.95 ,4.82 
BREST PLOUZANE,48.36 ,-4.57 
CESTAS-PIERROTON,44.74 ,-0.77 
DAX,43.68 ,-1.07 
DRAIX,44.13 ,6.33 
ORLEANS-LA-SOURCE,47.83 ,1.94 
ESPOO,60.18 ,24.83 
KUOPIO,62.89 ,27.63 
ROVANIEMI,66.50 ,25.76 
DANMARKSHAVN (GREENLAND),76.77 ,-18.67 
GROENNEDAL (GREENLAND),61.22 ,-48.12 
NORD (GREENLAND),81.60 ,-16.67 
THULE (GREENLAND),76.52 ,-68.83 
BAKURIANI,41.71 ,43.51 
BATUMI,41.65 ,41.63 
TBILISI,41.68 ,44.95 
TELAVI,41.93 ,45.48 
BEEK,50.92 ,5.78 
BRAAKMAN,51.30 ,3.75 
DE BILT,52.10 ,5.18 
DE KOOY,52.93 ,4.78 
GILZE-RIJEN,51.57 ,4.93 
GRONINGEN,53.23 ,6.55 
WIERINGERWERF,52.80 ,5.05 
UHLIRSKA,50.83 ,15.15 
DUBROVNIK,42.66 ,18.08 
KOMIZA-VIS ISLAND,43.04 ,16.09 
ZADAR,44.12 ,15.24 
ZAGREB,45.81 ,15.97 
ZAGREB-GRIC,45.82 ,15.98 
ZAVIZAN-VELEBIT,44.82 ,14.98 
RIGA,56.97 ,24.07 
RAMNICU VALCEA,45.04 ,24.28 
BALTI,47.70 ,27.88 
BRAVICEA,47.40 ,28.49 
CAHUL,45.80 ,28.20 
CHISINAU,46.97 ,28.90 
LEOVA,46.50 ,28.30 
MONACO,43.73 ,7.42 
ISFJORD RADIO,78.07 ,13.63 
LISTA,58.10 ,6.57 
NY ALESUND,78.92 ,11.93 
ANGRA DO HEROISMO (AZORES ISL.),38.66 ,-27.22 
BRAGANCA,41.80 ,-6.73 
FARO,37.01 ,-7.96 
FUNCHAL (MADEIRA),32.63 ,-16.90 
PENHAS DOURADAS,40.42 ,-7.55 
PONTA DELGADA (AZORES ISL.),37.77 ,-25.65 
PORTALEGRE,39.28 ,-7.42 
PORTO,41.13 ,-8.60 
SERRA DE SANTA BARBARA,38.73 ,-27.31 
VILA REAL,41.32 ,-7.73 
NAIMAKKA,68.68 ,21.53 
BASEL,47.54 ,7.58 
BELP,46.89 ,7.49 
BERN,46.95 ,7.44 
BUCHS/SUHR,47.37 ,8.08 
GRIMSEL,46.57 ,8.33 
GUTTANNEN,46.66 ,8.29 
LA BREVINE,46.98 ,6.61 
LOCARNO,46.17 ,8.79 
MEIRINGEN,46.73 ,8.19 
NYON,46.40 ,6.23 
PONTRESINA,46.49 ,9.90 
SION,46.22 ,7.34 
ST. GALLEN,47.43 ,9.40 
LIPTOVSKY MIKULAS-ONDRASOVA,49.10 ,19.59 
LJUBLJANA,46.10 ,14.60 
PORTOROZ,45.47 ,13.62 
ADANA,36.98 ,35.30 
ANKARA (CENTRAL),39.95 ,32.88 
ANTALYA,36.88 ,30.70 
DIYARBAKIR,37.90 ,40.20 
EDIRNE,41.68 ,26.56 
ERZURUM,39.91 ,41.28 
GUZELOLUK (ICEL),36.79 ,34.08 
KOCBEYLI (ISPARTA),37.75 ,30.55 
RIZE,41.02 ,40.52 
SENYURT (ERZURUM),40.18 ,41.48 
SINOP,42.03 ,35.16 
L'VOV,49.82 ,23.95 
ODESSA,46.48 ,30.63 
ALMERIA AEROPUERTO,36.85 ,-2.38 
BARCELONA,41.38 ,2.12 
CACERES TRUJILLO,39.47 ,-6.33 
CIUDAD REAL,38.98 ,-3.92 
GERONA AEROPUERTO,41.90 ,2.75 
LA CORUNA,43.37 ,-8.42 
LEON/VIRGEN DEL CAMINO,42.58 ,-5.65 
MADRID-RETIRO,40.41 ,-3.68 
MORON BASE SEVILLA,37.15 ,-5.62 
MURCIA,38.00 ,-1.17 
PALMA DE MALLORCA,39.55 ,2.62 
RIELLS,41.78 ,2.50 
SANTANDER,43.48 ,-3.80 
TORTOSA,40.81 ,0.52 
VALENCIA,39.47 ,-0.38 
VALLADOLID,41.63 ,-4.77 
ZARAGOZA AEROPUERTO,41.67 ,-1.02 
ATHENS (HELLINIKON AIRPORT),37.90 ,23.73 
ATHENS-PENDELI,38.05 ,23.87 
ATHENS-THISSION,37.97 ,23.72 
PATRAS,38.28 ,21.79 
THESSALONIKI,40.67 ,22.96 
BOLOGNA (CNR),44.52 ,11.34 
BRASIMONE,44.09 ,11.08 
CAMPO STAFFI,41.90 ,13.32 
FOGLIANO,41.38 ,12.92 
GAUDIO,40.95 ,15.58 
GENOA (SESTRI),44.42 ,8.85 
ITALA,40.88 ,15.67 
MELFI,40.98 ,15.62 
NIGRO,40.97 ,15.68 
PISA (CENTRAL),43.71 ,10.40 
ROME-DST,41.90 ,12.50 
SAN PELLEGRINO IN ALPE,44.19 ,10.48 
SUBIACO SANTA SCOLASTICA,41.92 ,13.08 
TRIESTE,45.65 ,13.75 
ARMAGH OBSERVATORY (MONTHLY),54.35 ,-6.65 
FLEAM DYKE,52.17 ,0.25 
INCHNADAMPH,58.15 ,-4.98 
KEYWORTH,52.88 ,-1.08 
WALLINGFORD,51.60 ,-1.10 
BARBADOS (SEAWELL AIRPORT),13.07 ,-59.49 
HOWARD AFB (PANAMA CANAL ZONE),8.92 ,-79.60 
PANAMA UNIVERSIDAD,8.98 ,-79.53 
BERMUDA ISLAND (ATLANTIC O.),32.37 ,-64.68 
SAN JUAN (PUERTO RICO),18.43 ,-66.00 
SANTANA,18.47 ,-70.02 
ESTRADA,10.07 ,-83.28 
SACRAMENTO (COSTA RICA),10.11 ,-84.12 
SANTA MARIA,10.77 ,-85.32 
HAVANA (CPHR),23.05 ,-82.22 
EL CIELITO,14.93 ,-88.09 
EL JARAL,14.94 ,-88.02 
ALERT (N.W.T.),82.50 ,-62.33 
ATIKOKAN (ONTARIO),48.75 ,-91.62 
BAY D'ESPOIR (NL),47.98 ,-55.82 
BONNER LAKE (ON),49.38 ,-82.12 
BRATT'S LAKE (SK),50.12 ,-104.42 
CALGARY,51.02 ,-114.02 
CAMBRIDGE BAY (N.W.T.),69.10 ,-105.12 
CHAPAIS (QC),49.82 ,-74.97 
CHURCHILL (MANITOBA),58.75 ,-94.06 
EDMONTON INDUSTRIAL (ALBERTA),53.57 ,-113.52 
ESTHER (AB),51.67 ,-110.20 
EUREKA (N.W.T.),80.00 ,-85.56 
EXPERIMENTAL LAKES AREA (ON),49.67 ,-93.72 
FORT SMITH (ALBERTA),60.02 ,-111.97 
GIMLI (MANITOBA),50.62 ,-96.98 
GOOSE BAY (NEWFOUNDLAND),53.32 ,-60.42 
HALL BEACH (N.W.T.),68.79 ,-81.25 
HARCOURT B (NB),46.29 ,-64.15 
MAYO (YUKON),63.37 ,-135.52 
MOULD BAY (N.W.T.),76.23 ,-119.28 
OLIVER,49.18 ,-119.56 
OTTAWA (ONTARIO),45.32 ,-75.67 
RESOLUTE BAY (CANADIAN ARCTIC),74.72 ,-94.98 
SASKATOON,52.14 ,-106.62 
SATURNA (BC),48.78 ,-123.13 
SIMCOE (ONTARIO),42.85 ,-80.27 
SNARE RAPIDS (NT),63.52 ,-116.00 
STE. AGATHE (QUEBEC),46.05 ,-74.28 
THE PAS (MANITOBA),53.97 ,-101.10 
TRURO (NOVA SCOTIA),45.37 ,-63.27 
VICTORIA (B.C.),48.65 ,-123.43 
WHITEHORSE (YUKON),60.72 ,-135.07 
WYNYARD (SASK.),51.77 ,-104.20 
YELLOWKNIFE (N.W.T.),62.28 ,-114.27 
ADAK (ALASKA),51.88 ,-176.65 
BARROW (ALASKA),71.30 ,-156.78 
BETHEL (ALASKA),60.78 ,-161.80 
BOULDER (UNIV. OF COLORADO),40.01 ,-105.27 
CHICAGO (MIDWAY ILLINOIS),41.78 ,-87.75 
COSHOCTON (OHIO),40.37 ,-81.80 
DESTRUCTION ISLAND (PACIFIC O.),47.67 ,-124.48 
FLAGSTAFF (ARIZONA),35.13 ,-111.67 
HATTERAS (NORTH CAROLINA),35.27 ,-75.55 
SANTA MARIA (CALIFORNIA),34.90 ,-120.45 
TUCSON (UNIVERSITY),32.24 ,-110.94 
TUSCALOOSA (AL)/ UNIV. OF ALABAMA (OWL STATION),33.22 ,-87.54 
WACO (TEXAS),31.62 ,-97.22 
WEATHERSHIP E (ATLANTIC O.),35.00 ,-48.00 
CHIHUAHUA,28.63 ,-106.07 
VERACRUZ,19.20 ,-96.13 
AZUL,-36.80 ,-59.83 
BAHIA BLANCA,-38.47 ,-62.16 
BARILOCHE,-41.15 ,-71.33 
BUENOS AIRES,-34.58 ,-58.48 
CIUDAD UNIVERSITARIA (BUENOS AIRES),-34.38 ,-58.28 
CORRIENTES,-27.47 ,-58.83 
LA SUELA,-30.58 ,-64.58 
LOS MOLINOS,-24.11 ,-65.19 
MENDOZA,-32.88 ,-68.85 
MIRAMAR,-30.92 ,-62.67 
NANCUNAN,-34.03 ,-67.97 
PADRE BUODO,-37.32 ,-64.33 
PUERTO MADRYN,-42.48 ,-65.05 
SALTA,-24.78 ,-65.40 
SANTA FE,-31.75 ,-60.73 
USHUAIA,-54.78 ,-68.28 
ASUNCION,-25.27 ,-57.63 
BELEM,-1.43 ,-48.48 
BELO HORIZONTE-CDTN,-19.87 ,-43.97 
BRASILIA (AIRPORT),-15.85 ,-47.93 
CAMPO GRANDE,-20.47 ,-54.67 
CEARA MIRIM,-5.80 ,-35.20 
CUIABA,-15.60 ,-56.10 
FORTALEZA,-3.72 ,-38.55 
MANAUS,-3.12 ,-60.02 
PORTO ALEGRE,-30.08 ,-51.18 
PORTO VELHO,-8.77 ,-63.92 
RIO DE JANEIRO,-22.90 ,-43.17 
SALVADOR (ONDINA),-13.00 ,-38.52 
SAO GABRIEL,-0.13 ,-67.08 
UAUPES,-0.12 ,-67.15 
ENTRE RIOS,-21.50 ,-64.17 
LA PAZ - LAICA COTA,-16.50 ,-68.12 
TARIJA,-21.54 ,-64.70 
VILLAMONTES,-21.25 ,-63.41 
ALLURIQUIN,-0.32 ,-78.97 
AMALUZA,-2.60 ,-78.57 
BELLAVISTA (GALAPAGOS IS.),-0.69 ,-90.32 
CUENCA,-2.88 ,-78.98 
IZOBAMBA,-0.37 ,-78.55 
LA CONCORDIA,0.10 ,-79.28 
LAGO AGRIO,0.08 ,-76.87 
MENDEZ,-2.72 ,-78.33 
QUITO-INAMHI,-0.17 ,-78.48 
UZHCURRUMI,-3.32 ,-79.60 
CAYENNE (FRENCH GUIANA),4.83 ,-52.37 
STANLEY FALKLAND ISLANDS (ATLANTIC O.),-51.70 ,-57.87 
BARRANQUILLA,10.88 ,-74.78 
BERLIN-COL,7.19 ,-72.87 
BOGOTA,4.70 ,-74.13 
EL TESORO (formerly COROZAL),9.36 ,-75.29 
LA GALVICIA,7.13 ,-73.06 
SAN ANTONIO,7.10 ,-73.07 
TONA,7.20 ,-72.97 
MARCAPOMACOCHA,-11.40 ,-76.33 
PUERTO ALMENDRAS - IQUITOS,-3.82 ,-73.38 
MARACAY,10.25 ,-67.65 
LIBERTAD,-34.63 ,-56.62 
MONTEVIDEO-IGS,-34.90 ,-56.17 
SAN JOSE,-34.35 ,-56.71 
CHILLAN,-36.64 ,-72.09 
COYHAIQUE,-45.35 ,-72.07 
ISLA DE PASCUA (PACIFIC O.),-27.17 ,-109.43 
JUAN FERNANDEZ ISLAND (PACIFIC O.),-33.62 ,-78.83 
PUERTO MONTT (LA CHAMIZA),-41.47 ,-72.93 
PUNTA ARENAS,-53.00 ,-70.51 
SANTIAGO,-33.45 ,-70.70 
TEMUCO,-38.73 ,-72.59 
ADELAIDE,-34.93 ,138.58 
ALICE SPRINGS,-23.80 ,133.88 
BRISBANE,-27.43 ,153.08 
CAPE GRIM (TASMANIA),-40.68 ,144.69 
DARWIN,-12.43 ,130.87 
MELBOURNE,-37.82 ,144.97 
PERTH,-31.95 ,115.97 
PERTH CSIRO,-31.95 ,115.78 
MADANG,-5.22 ,145.80 
AGCO (MT. APO GEOTHERMAL F.),7.02 ,125.23 
BALASBAS (BACON MANITO G.F.),13.10 ,123.90 
BARRIO TONGONAN (LEYTE G. F.),11.11 ,124.65 
BONGA (BACON MANITO GEOTH. F.),13.03 ,123.92 
BOTONG (BACON MANITO G.F.),13.05 ,123.97 
DILIMAN QUEZON CITY,14.64 ,121.04 
ILOMAVIS (MT. APO GEOTHERMAL F.),7.04 ,125.19 
INANG MAHARANG (BACON MANITO G.F.),13.07 ,123.91 
KANLAS (MT. APO GEOTHERMAL F.),6.99 ,125.24 
MANILA,14.52 ,121.00 
TICALA (SOUTHERN NEGROS GEOTHERMAL F.),9.31 ,123.20 
TAGUAC GUAM IS. (PACIFIC O.),13.55 ,144.83 
CANTON ISLAND (PACIFIC O.),-2.77 ,-171.72 
CHRISTMAS ISLAND (PACIFIC O.),1.98 ,-157.46 
ALOR STAR,6.20 ,100.40 
CAMERON HIGHLANDS,4.47 ,101.38 
KOTA BAHRU,6.17 ,102.28 
KUALA LUMPUR (MINT),2.88 ,101.78 
KUALA TERENGGANU,5.38 ,103.10 
LANGKAWI,6.33 ,99.73 
OLAK LEMPIT,2.82 ,101.58 
HAWAII (HILO PACIFIC O.),19.72 ,-155.07 
JOHNSTON ISLAND (PACIFIC O.),16.73 ,-169.52 
MIDWAY IS. (PACIFIC O.),28.22 ,-177.37 
WAKE ISLAND (PACIFIC O.),19.28 ,166.65 
WEATHERSHIP V (PACIFIC O.),31.00 ,164.00 
TRUK (EASTERN CAROLINE IS. PACIFIC O.),7.47 ,151.85 
YAP (WESTERN CAROLINE IS. PACIFIC O.),9.49 ,138.09 
APIA,-13.80 ,-171.78 
SINGAPORE (AIRPORT),1.35 ,103.90 
INVERCARGILL,-46.42 ,168.32 
KAITAIA,-35.07 ,173.28 
RAROTONGA - COOK IS. (PACIFIC O.),-21.20 ,-159.80 
BATAN-CRDIRT,-6.29 ,106.67 
JAKARTA,-6.18 ,106.83 
JAYAPURA,-2.53 ,140.72 
